lat,lon,id,generator:method,generator:source,source,operator
-4.3416695,53.3785354,node/1030681253,yes,horizontal_axis,,
-4.3393628,53.377665,node/1030681362,yes,horizontal_axis,,
-4.3553595,53.3677304,node/1030681613,yes,horizontal_axis,,
-4.3542222,53.3722565,node/1030681680,yes,horizontal_axis,,
-4.3528167,53.3712195,node/1030681693,yes,horizontal_axis,,
-4.3383757,53.3793162,node/1030682313,yes,horizontal_axis,,
-4.3467442,53.3767625,node/1030682415,yes,horizontal_axis,,
-4.3528597,53.3691583,node/1030682531,yes,horizontal_axis,,
-4.3447379,53.3765449,node/1030682693,yes,horizontal_axis,,
-4.3424205,53.3770246,node/1030683144,yes,horizontal_axis,,
-4.39601,53.4072306,node/1031602169,yes,horizontal_axis,,
-4.3969541,53.4048769,node/1031602277,yes,horizontal_axis,,
-4.4060951,53.4069485,node/1031602489,yes,horizontal_axis,,
-4.4094854,53.4070892,node/1031602506,yes,horizontal_axis,,
-4.3986707,53.405977,node/1031602673,yes,horizontal_axis,,
-4.4027477,53.4064375,node/1031602685,yes,horizontal_axis,,
-4.3973189,53.4058612,node/1031602853,yes,horizontal_axis,,
-4.431222,53.4127286,node/1031602885,yes,horizontal_axis,,
-4.4425517,53.4068596,node/1031602987,yes,horizontal_axis,,
-4.4120603,53.4077806,node/1031603179,yes,horizontal_axis,,
-4.3941861,53.4047362,node/1031603262,yes,horizontal_axis,,
-4.4128328,53.4085858,node/1031604474,yes,horizontal_axis,,
-4.4387966,53.4071916,node/1031604914,yes,horizontal_axis,,
-4.4039493,53.407448,node/1031604968,yes,horizontal_axis,,
-4.4366079,53.4064624,node/1031605692,yes,horizontal_axis,,
-4.4010954,53.4060019,node/1031605781,yes,horizontal_axis,,
-4.4406634,53.40622,node/1031606180,yes,horizontal_axis,,
-4.4001298,53.4052856,node/1031606318,yes,horizontal_axis,,
-4.4299131,53.4127926,node/1031606492,yes,horizontal_axis,,
-4.4142061,53.4088039,node/1031606549,yes,horizontal_axis,,
-4.4330674,53.4130228,node/1031606580,yes,horizontal_axis,,
-4.4327455,53.4115916,node/1031606790,yes,horizontal_axis,,
-4.4379597,53.4066805,node/1031607015,yes,horizontal_axis,,
-4.410687,53.4074352,node/1031607700,yes,horizontal_axis,,
-1.5749,55.1538389,node/1033661756,yes,,Bing,
-4.4704496,53.3539975,node/1037217988,yes,horizontal_axis,,
-4.4746982,53.3620135,node/1037218037,yes,horizontal_axis,,
-4.4406878,53.3593634,node/1037218100,yes,horizontal_axis,,
-4.4335853,53.3621934,node/1037218153,yes,horizontal_axis,,
-4.4633686,53.3557777,node/1037218245,yes,horizontal_axis,,
-4.4489705,53.3573401,node/1037218250,yes,horizontal_axis,,
-4.4780885,53.3557898,node/1037218327,yes,horizontal_axis,,
-4.4454514,53.3596836,node/1037218355,yes,horizontal_axis,,
-4.4713079,53.3546763,node/1037218363,yes,horizontal_axis,,
-4.4707071,53.3613099,node/1037218366,yes,horizontal_axis,,
-4.4581544,53.3597604,node/1037218368,yes,horizontal_axis,,
-4.4761573,53.3633715,node/1037218591,yes,horizontal_axis,,
-4.4419967,53.3595043,node/1037218600,yes,horizontal_axis,,
-4.4728529,53.354919,node/1037218620,yes,horizontal_axis,,
-4.4432842,53.3595939,node/1037218678,yes,horizontal_axis,,
-4.4468676,53.3600421,node/1037218681,yes,horizontal_axis,,
-4.4322764,53.3616812,node/1037218690,yes,horizontal_axis,,
-4.4310748,53.361258,node/1037218713,yes,horizontal_axis,,
-4.4571029,53.3591707,node/1037218783,yes,horizontal_axis,,
-4.4752132,53.362744,node/1037218808,yes,horizontal_axis,,
-4.4724237,53.3613867,node/1037218817,yes,horizontal_axis,,
-4.4767582,53.3555599,node/1037218823,yes,horizontal_axis,,
-4.464141,53.356482,node/1037218844,yes,horizontal_axis,,
-4.4474255,53.3570711,node/1037218860,yes,horizontal_axis,,
-4.4753419,53.3553416,node/1037218865,yes,horizontal_axis,,
-4.4503867,53.3574035,node/1037218904,yes,horizontal_axis,,
-4.4491636,53.3614635,node/1037218945,yes,horizontal_axis,,
-4.4593131,53.3603616,node/1037218950,yes,horizontal_axis,,
-4.4774448,53.3637038,node/1037218970,yes,horizontal_axis,,
-4.4518029,53.3577877,node/1037218984,yes,horizontal_axis,,
-4.4604289,53.3609123,node/1037218992,yes,horizontal_axis,,
-4.4348084,53.3626544,node/1037219080,yes,horizontal_axis,,
-4.4481551,53.36058,node/1037219107,yes,horizontal_axis,,
-4.4651496,53.3570833,node/1037219111,yes,horizontal_axis,,
-1.6875758,53.5383821,node/1050651179,500 kW,horizontal_axis,Bing,
-1.6938375,53.5385246,node/1050651182,500 kW,horizontal_axis,Bing,
-1.6847048,53.5374376,node/1050651192,500 kW,horizontal_axis,Bing,
-1.6908687,53.5375463,node/1050651195,500 kW,horizontal_axis,Bing,
-1.6818031,53.5364986,node/1050651198,500 kW,horizontal_axis,Bing,
-1.683714,53.5371228,node/1050651206,500 kW,horizontal_axis,Bing,
-1.6898699,53.5372187,node/1050651210,500 kW,horizontal_axis,Bing,
-1.6866188,53.5380673,node/1050651213,500 kW,horizontal_axis,Bing,
-1.6928403,53.5382015,node/1050651225,500 kW,horizontal_axis,Bing,
-1.6827908,53.5368079,node/1050651228,500 kW,horizontal_axis,Bing,
-1.6887665,53.5368782,node/1050651234,500 kW,horizontal_axis,Bing,
-1.6856618,53.5377525,node/1050651248,500 kW,horizontal_axis,Bing,
-1.6918675,53.5378739,node/1050651252,500 kW,horizontal_axis,Bing,
-1.9119298,53.9621725,node/1050681939,,horizontal_axis,,
-1.9072843,53.9609544,node/1050681941,,horizontal_axis,,
-1.9100709,53.9613473,node/1050681944,,horizontal_axis,,
-1.9145177,53.9626548,node/1050681946,,horizontal_axis,,
-1.8140692,52.4270966,node/1050968510,,,visual survey; estimate,
-0.6518412,52.3600735,node/1079103545,yes,horizontal_axis,survey;OS OpenData StreetView,
-0.6469237,52.3605456,node/1079103552,yes,horizontal_axis,survey;OS OpenData StreetView,
-0.6563645,52.3584813,node/1079103554,yes,horizontal_axis,survey;OS OpenData StreetView,
-0.6513332,52.3567257,node/1079103558,yes,horizontal_axis,survey;OS OpenData StreetView,
-0.6465954,52.3573791,node/1079103564,yes,horizontal_axis,survey;OS OpenData StreetView,
-0.649717,52.3663172,node/1079103573,yes,horizontal_axis,survey;OS OpenData StreetView,
-0.6608953,52.3602045,node/1079103574,yes,horizontal_axis,survey;OS OpenData StreetView,
-2.6522148,54.0664898,node/1108721008,,horizontal_axis,,
-2.6503377,54.0695135,node/1108721009,,horizontal_axis,,
-2.655427,54.0688778,node/1108721010,,horizontal_axis,,
-2.6543512,54.0718852,node/1108721011,,horizontal_axis,,
0.0143871,51.9153859,node/1117128106,,,,
-1.8881866,52.4850452,node/1126363415,yes,vertical_axis,visual survey; estimate,
-2.0840258,52.4028201,node/1126761710,yes,,survey,
-3.4841669,53.0917564,node/1134582520,,horizontal_axis,,
-3.4859908,53.0902284,node/1134582539,,horizontal_axis,,
-3.4902083,53.0943532,node/1134582571,,horizontal_axis,,
-3.4918702,53.0901843,node/1134582685,,horizontal_axis,,
-3.4849179,53.0980186,node/1134582706,,horizontal_axis,,
-3.4896171,53.0921559,node/1134582733,,horizontal_axis,,
-3.4864516,53.0935716,node/1134582750,,horizontal_axis,,
-3.4885228,53.0963436,node/1134582859,,horizontal_axis,,
-3.4847716,53.0956716,node/1134583180,,horizontal_axis,,
-3.4949601,53.1171732,node/1134615267,,horizontal_axis,,
-3.4913123,53.1166452,node/1134615299,,horizontal_axis,,
-3.4880292,53.1181906,node/1134615365,,horizontal_axis,,
-3.4941447,53.1105918,node/1134615371,,horizontal_axis,,
-3.4920204,53.1186284,node/1134615383,,horizontal_axis,,
-3.4876645,53.1160012,node/1134615396,,horizontal_axis,,
-3.4869349,53.1113646,node/1134615403,,horizontal_axis,,
-3.4969986,53.1089559,node/1134615423,,horizontal_axis,,
-3.4813559,53.1196071,node/1134615487,,horizontal_axis,,
-3.4910548,53.1117259,node/1134615491,,horizontal_axis,,
-3.4905183,53.1142883,node/1134615502,,horizontal_axis,,
-3.4921706,53.1085953,node/1134615521,,horizontal_axis,,
-3.4879863,53.1092528,node/1134615535,,horizontal_axis,,
-3.4840596,53.1089688,node/1134615553,,horizontal_axis,,
-3.4842527,53.1178557,node/1134615556,,horizontal_axis,,
-0.1070392,51.5588035,node/1135422648,,,Bing,
-0.0305115,52.4331785,node/1173069483,2 MW,horizontal_axis,,
-0.0235158,52.4304607,node/1173069496,2 MW,horizontal_axis,,
-0.0314713,52.4379506,node/1173069499,2 MW,horizontal_axis,,
-0.0206151,52.4259219,node/1173069501,2 MW,horizontal_axis,,
-0.0272696,52.4362472,node/1173069505,2 MW,horizontal_axis,,
-0.0193994,52.4304216,node/1173069516,2 MW,horizontal_axis,,
-0.024049,52.4347259,node/1173069519,2 MW,horizontal_axis,,
-0.0305755,52.4284449,node/1173069523,2 MW,horizontal_axis,,
-0.0260325,52.4265852,node/1173069529,2 MW,horizontal_axis,,
-0.022556,52.4395628,node/1173069538,2 MW,horizontal_axis,,
-0.0258619,52.440954,node/1173069541,2 MW,horizontal_axis,,
-0.0270776,52.4318521,node/1173069545,2 MW,horizontal_axis,,
-3.441811,52.420972,node/1194300287,yes,horizontal_axis,,
-3.4338073,52.4214137,node/1194300290,yes,horizontal_axis,,
-3.4325842,52.4211552,node/1194300297,yes,horizontal_axis,,
-3.4428624,52.4212795,node/1194300320,yes,horizontal_axis,,
-3.4433076,52.4179069,node/1194300324,yes,horizontal_axis,,
-3.4374825,52.4220928,node/1194300326,yes,horizontal_axis,,
-3.4385014,52.4194887,node/1194300335,yes,horizontal_axis,,
-3.4399286,52.4168991,node/1194300349,yes,horizontal_axis,,
-3.4373054,52.4192334,node/1194300365,yes,horizontal_axis,,
-3.4406952,52.4203308,node/1194300370,yes,horizontal_axis,,
-3.4385602,52.422804,node/1194300384,yes,horizontal_axis,,
-3.4349982,52.4216688,node/1194300387,yes,horizontal_axis,,
-3.4421012,52.4174602,node/1194300399,yes,horizontal_axis,,
-3.4443749,52.4183778,node/1194300406,yes,horizontal_axis,,
-3.4348056,52.4186102,node/1194300413,yes,horizontal_axis,,
-3.4410224,52.4171805,node/1194300415,yes,horizontal_axis,,
-3.4315113,52.4207888,node/1194300418,yes,horizontal_axis,,
-3.4361891,52.4217964,node/1194300423,yes,horizontal_axis,,
-3.4396652,52.4199185,node/1194300440,yes,horizontal_axis,,
-3.4358887,52.4189305,node/1194300441,yes,horizontal_axis,,
-3.4408773,52.4299025,node/1194309702,yes,horizontal_axis,,
-3.4411026,52.4269226,node/1194309703,yes,horizontal_axis,,
-3.4365751,52.4249894,node/1194309704,yes,horizontal_axis,,
-3.436618,52.4346613,node/1194309705,yes,horizontal_axis,,
-3.4390695,52.4353056,node/1194309706,yes,horizontal_axis,,
-3.4363873,52.4315804,node/1194309707,yes,horizontal_axis,,
-3.4330944,52.4335763,node/1194309713,yes,horizontal_axis,,
-3.3929293,52.4692717,node/1194309714,yes,horizontal_axis,,
-3.4170754,52.44147,node/1194309715,yes,horizontal_axis,,
-3.4387798,52.4289081,node/1194309716,yes,horizontal_axis,,
-3.4357758,52.4372417,node/1194309717,yes,horizontal_axis,,
-3.4197093,52.4443933,node/1194309718,yes,horizontal_axis,,
-3.4184487,52.4414144,node/1194309719,yes,horizontal_axis,,
-3.4346331,52.4371534,node/1194309720,yes,horizontal_axis,,
-3.4335924,52.4278091,node/1194309721,yes,horizontal_axis,,
-3.3930903,52.4709253,node/1194309722,yes,horizontal_axis,,
-3.4338982,52.4245739,node/1194309723,yes,horizontal_axis,,
-3.4377177,52.4317309,node/1194309724,yes,horizontal_axis,,
-3.418395,52.4439649,node/1194309725,yes,horizontal_axis,,
-3.4442194,52.4279661,node/1194309726,yes,horizontal_axis,,
-3.4352179,52.4313188,node/1194309727,yes,horizontal_axis,,
-3.4401424,52.4324079,node/1194309728,yes,horizontal_axis,,
-3.4353037,52.4343277,node/1194309730,yes,horizontal_axis,,
-3.4328146,52.4306319,node/1194309731,yes,horizontal_axis,,
-3.4338446,52.4309492,node/1194309732,yes,horizontal_axis,,
-3.4342201,52.4339385,node/1194309733,yes,horizontal_axis,,
-3.432246,52.4361886,node/1194309734,yes,horizontal_axis,,
-3.4350945,52.4281656,node/1194309736,yes,horizontal_axis,,
-3.4354003,52.4247375,node/1194309737,yes,horizontal_axis,,
-3.437799,52.4348976,node/1194309739,yes,horizontal_axis,,
-3.4379269,52.4254441,node/1194309741,yes,horizontal_axis,,
-3.4376587,52.4285843,node/1194309742,yes,horizontal_axis,,
-3.4432859,52.4275376,node/1194309743,yes,horizontal_axis,,
-3.4411187,52.4328658,node/1194309744,yes,horizontal_axis,,
-3.4422935,52.4271712,node/1194309746,yes,horizontal_axis,,
-3.4420521,52.4334774,node/1194309747,yes,horizontal_axis,,
-3.4317793,52.4301086,node/1194309749,yes,horizontal_axis,,
-3.4389247,52.4320808,node/1194309751,yes,horizontal_axis,,
-3.4331469,52.4367315,node/1194309752,yes,horizontal_axis,,
-3.4362639,52.428424,node/1194309753,yes,horizontal_axis,,
-3.4398205,52.4293857,node/1194309755,yes,horizontal_axis,,
-3.4412528,52.4362083,node/1194309756,yes,horizontal_axis,,
-3.4395738,52.4269423,node/1194309759,yes,horizontal_axis,,
-3.4419341,52.4304389,node/1194309760,yes,horizontal_axis,,
-3.4325732,52.4242337,node/1194309761,yes,horizontal_axis,,
-3.4198166,52.4518052,node/1194314690,yes,horizontal_axis,,
-3.4168957,52.4487125,node/1194314691,yes,horizontal_axis,,
-3.4149404,52.4454461,node/1194314692,yes,horizontal_axis,,
-3.4142374,52.4432586,node/1194314693,yes,horizontal_axis,,
-3.4157236,52.4434646,node/1194314694,yes,horizontal_axis,,
-3.4209324,52.4499123,node/1194314695,yes,horizontal_axis,,
-3.4139721,52.4482908,node/1194314696,yes,horizontal_axis,,
-3.4211014,52.447627,node/1194314698,yes,horizontal_axis,,
-3.4154741,52.4484673,node/1194314699,yes,horizontal_axis,,
-3.4209539,52.4522172,node/1194314700,yes,horizontal_axis,,
-3.3829623,52.4679939,node/1194314701,yes,horizontal_axis,,
-3.4154983,52.4509095,node/1194314702,yes,horizontal_axis,,
-3.4183816,52.4490476,node/1194314703,yes,horizontal_axis,,
-3.4170754,52.4436903,node/1194314704,yes,horizontal_axis,,
-3.4197469,52.4494121,node/1194314705,yes,horizontal_axis,,
-3.4140606,52.4508081,node/1194314706,yes,horizontal_axis,,
-3.4231962,52.4507754,node/1194314707,yes,horizontal_axis,,
-3.4197174,52.4472658,node/1194314708,yes,horizontal_axis,,
-3.4122903,52.4446974,node/1194314709,yes,horizontal_axis,,
-3.4184648,52.4513966,node/1194314710,yes,horizontal_axis,,
-3.4170003,52.4511547,node/1194314711,yes,horizontal_axis,,
-3.4162386,52.445845,node/1194314712,yes,horizontal_axis,,
-3.4141303,52.4455082,node/1194314713,yes,horizontal_axis,,
-3.4166677,52.4533221,node/1194321659,yes,horizontal_axis,,
-3.4151657,52.4574606,node/1194321676,yes,horizontal_axis,,
-3.4216727,52.4550384,node/1194321697,yes,horizontal_axis,,
-3.4253688,52.4536523,node/1194321698,yes,horizontal_axis,,
-3.4204872,52.4546003,node/1194321702,yes,horizontal_axis,,
-3.4175904,52.4562642,node/1194321703,yes,horizontal_axis,,
-3.4160079,52.4578856,node/1194321708,yes,horizontal_axis,,
-3.4182878,52.4537079,node/1194321709,yes,horizontal_axis,,
-3.4137924,52.4526127,node/1194321712,yes,horizontal_axis,,
-3.4185667,52.4568101,node/1194321719,yes,horizontal_axis,,
-3.4263934,52.4538419,node/1194321720,yes,horizontal_axis,,
-3.4198113,52.4540283,node/1194321722,yes,horizontal_axis,,
-3.4170861,52.4582517,node/1194321726,yes,horizontal_axis,,
-3.4165711,52.4558197,node/1194321729,yes,horizontal_axis,,
-3.415289,52.4528939,node/1194321730,yes,horizontal_axis,,
-3.4240867,52.4534758,node/1194321731,yes,horizontal_axis,,
-4.3406622,55.7095444,node/1210840754,2.3 MW,horizontal_axis,survey,
-4.2320578,55.6910937,node/1210840811,,horizontal_axis,survey,
-3.1384331,55.7196508,node/1226729469,yes,horizontal_axis,Bing,
-3.1310991,55.7084967,node/1226729489,yes,horizontal_axis,Bing,
-3.1463092,55.7146206,node/1226729497,yes,horizontal_axis,Bing,
-3.1390935,55.715152,node/1226729515,yes,horizontal_axis,Bing,
-3.1240756,55.7116368,node/1226729536,yes,horizontal_axis,Bing,
-3.1418771,55.7129824,node/1226729559,yes,horizontal_axis,Bing,
-3.1176605,55.7132524,node/1226729579,yes,horizontal_axis,Bing,
-3.1236243,55.709437,node/1226729603,yes,horizontal_axis,Bing,
-3.1449139,55.7091401,node/1226729606,yes,horizontal_axis,Bing,
-3.1128571,55.7158003,node/1226729623,yes,horizontal_axis,Bing,
-3.1205945,55.7079414,node/1226729652,yes,horizontal_axis,Bing,
-3.1324076,55.7107789,node/1226729660,yes,horizontal_axis,Bing,
-3.1441423,55.7169113,node/1226729687,yes,horizontal_axis,Bing,
-3.1273109,55.7099299,node/1226729717,yes,horizontal_axis,Bing,
-3.1386738,55.7173215,node/1226729744,yes,horizontal_axis,Bing,
-3.1212354,55.7136107,node/1226729760,yes,horizontal_axis,Bing,
-3.1425931,55.7151381,node/1226729832,yes,horizontal_axis,Bing,
-3.1163135,55.7152017,node/1226729870,yes,horizontal_axis,Bing,
-3.1240272,55.7071891,node/1226729899,yes,horizontal_axis,Bing,
-3.1369702,55.7135248,node/1226729904,yes,horizontal_axis,Bing,
-3.1203259,55.7112218,node/1226729925,yes,horizontal_axis,Bing,
-3.144167,55.7110457,node/1226730009,yes,horizontal_axis,Bing,
-3.1417599,55.7185105,node/1226730094,yes,horizontal_axis,Bing,
-3.1358492,55.7115967,node/1226730123,yes,horizontal_axis,Bing,
-2.7863276,53.8886441,node/1234891785,,horizontal_axis,,
-3.4155144,52.4421273,node/1242542902,yes,horizontal_axis,,
-3.8737109,52.40774,node/1243890266,yes,horizontal_axis,bing,
-3.8794455,52.4075044,node/1243890784,yes,horizontal_axis,bing,
-3.8814035,52.4081983,node/1243891313,yes,horizontal_axis,bing,
-3.8746658,52.4064376,node/1243891357,yes,horizontal_axis,bing,
-3.8784906,52.4089345,node/1243891631,yes,horizontal_axis,bing,
-3.877069,52.407017,node/1243891783,yes,horizontal_axis,bing,
-3.8758298,52.4086105,node/1243892877,yes,horizontal_axis,bing,
-3.8822832,52.4090657,node/1243894524,yes,horizontal_axis,bing,
-4.0217052,52.3046607,node/1244353025,yes,horizontal_axis,bing,
-4.0258358,52.306675,node/1244353331,yes,horizontal_axis,bing,
-4.0132771,52.311148,node/1244353448,yes,horizontal_axis,bing,
-4.0226005,52.2997622,node/1244353767,yes,horizontal_axis,bing,
-4.026619,52.3046414,node/1244353816,yes,horizontal_axis,bing,
-4.0280137,52.302752,node/1244353994,yes,horizontal_axis,bing,
-4.0247307,52.3085311,node/1244354125,yes,horizontal_axis,,
-4.0167694,52.3094264,node/1244354184,yes,horizontal_axis,bing,
-4.0144895,52.3081835,node/1244354691,yes,horizontal_axis,bing,
-4.0230833,52.3022553,node/1244354723,yes,horizontal_axis,bing,
-4.0178154,52.3065732,node/1244354855,yes,horizontal_axis,bing,
-3.6083541,52.5492446,node/1254030458,,horizontal_axis,,
-3.600028,52.550204,node/1254030483,,horizontal_axis,,
-3.6183641,52.5524282,node/1254030490,,horizontal_axis,,
-3.6045025,52.547411,node/1254030498,,horizontal_axis,,
-3.6184178,52.5479793,node/1254030511,,horizontal_axis,,
-3.5918956,52.5524413,node/1254030512,,horizontal_axis,,
-3.6081288,52.5479271,node/1254030559,,horizontal_axis,,
-3.5952108,52.5461587,node/1254030561,,horizontal_axis,,
-3.6044059,52.5501322,node/1254030574,,horizontal_axis,,
-3.589782,52.5514826,node/1254030590,,horizontal_axis,,
-3.5965626,52.5432226,node/1254030642,,horizontal_axis,,
-3.5969059,52.552957,node/1254030652,,horizontal_axis,,
-3.5930543,52.5459111,node/1254030722,,horizontal_axis,,
-3.6191366,52.5505889,node/1254030732,,horizontal_axis,,
-3.5940628,52.5528588,node/1254030758,,horizontal_axis,,
-3.5887091,52.5478814,node/1254030764,,horizontal_axis,,
-3.6041377,52.5485599,node/1254030765,,horizontal_axis,,
-3.5880761,52.5465179,node/1254030785,,horizontal_axis,,
-3.5956828,52.5476136,node/1254030789,,horizontal_axis,,
-3.5968201,52.5450042,node/1254030811,,horizontal_axis,,
-3.6117444,52.5479662,node/1254030829,,horizontal_axis,,
-3.6013101,52.5531621,node/1254030834,,horizontal_axis,,
-3.6150489,52.5516389,node/1254030849,,horizontal_axis,,
-3.6132787,52.5490294,node/1254030851,,horizontal_axis,,
-3.5998456,52.5486317,node/1254030861,,horizontal_axis,,
-3.5968737,52.5515087,node/1254030864,,horizontal_axis,,
-3.5924856,52.5445605,node/1254030917,,horizontal_axis,,
-3.5982685,52.5417548,node/1254030927,,horizontal_axis,,
-3.6161754,52.549669,node/1254030939,,horizontal_axis,,
-3.600307,52.5520955,node/1254030949,,horizontal_axis,,
-3.6206494,52.5492189,node/1254030958,,horizontal_axis,,
-1.3420803,52.8244145,node/1266539656,,horizontal_axis,survey;Bing,
-1.3402235,52.8246813,node/1266539683,,horizontal_axis,survey;Bing,
-3.6703144,52.647822,node/1268258304,,horizontal_axis,bing,
